Comment_DCC;I2;Hier kann die Nummer des Steckplatzes der Verteilerplatine eingetragen werden welche von der angeschlossenen Baugruppe benutzt wird.;Here you can enter the number of the slot on the distributor board which is used by the connected module.;Hier kunt u het nummer van het slot op het verdeelbord invoeren dat door de aangesloten module wordt gebruikt.;Ici, vous pouvez entrer le numéro de l'emplacement sur la carte de distribution utilisé par le module connecté.;Here you can enter the number of the slot on the distributor board which is used by the connected module.;Here you can enter the number of the slot on the distributor board which is used by the connected module.;Her kan du indtaste nummeret på sporet på fordelerkortet, der bruges af det tilsluttede modul.
Comment_DCC;J2;"Hier werden mit einem Doppelklick oder dem ""Dialog"" Knopf die Funktionen zum ansteuern der LEDs oder der anderen Verbraucher eingetragen.
Achtung: Die Einträge sollten nur von Experten manuell verändert werden.";"The functions for controlling the LEDs or other consumers are entered here with a double click or the ""Dialog"" button.
Attention: The entries should only be changed manually by experts.";"De functies voor het aansturen van de LED's of andere verbruikers worden hier ingevoerd met een dubbele klik of de ""Dialoog"" knop.";"Ici, les fonctions de contrôle des LED ou des autres consommateurs sont entrées avec un double clic ou le bouton ""Dialogue"" Attention: Les entrées ne doivent être modifiées que manuellement par des experts.";"The functions for controlling the LEDs or other consumers are entered here with a double click or the ""Dialog"" button.
Attention: The entries should only be changed manually by experts.";"The functions for controlling the LEDs or other consumers are entered here with a double click or the ""Dialog"" button.
Attention: The entries should only be changed manually by experts.";"Funktioner til styring af lysdioder eller andre forbrugere indtastes her med et dobbeltklik eller knappen ""Dialog"". OBS: Indgange skal kun ændres manuelt af eksperter."
Comment_DCC;K2;Diese Spalte enthält die Startnummer der ersten LED dieser Zeile. Die Nummer ergibt sich aus der Zeilenposition und der Anzahl der vorangegangenen LEDs. Die Zahl kann nicht verändert werden.;This column contains the start number of the first LED in this line. The number results from the line position and the number of previous LEDs. The number cannot be changed.;Deze kolom bevat het startnummer van de eerste LED in deze regel. Het nummer is het resultaat van de lijnpositie en het aantal vorige LED's. Het nummer kan niet worden gewijzigd.;Cette colonne contient le numéro de départ de la première LED de cette ligne. Le nombre résulte de la position de la ligne et du nombre de LED précédentes. Le numéro ne peut pas être modifié.;This column contains the start number of the first LED in this line. The number results from the line position and the number of previous LEDs. The number cannot be changed.;This column contains the start number of the first LED in this line. The number results from the line position and the number of previous LEDs. The number cannot be changed.;Denne kolonne indeholder startnummeret for den første LED i denne linje. Nummeret er resultatet af linjepositionen og antallet af tidligere LED'er. Nummeret kan ikke ændres.
Comment_DCC;L2;"Hier wird automatisch die Anzahl der von dieser Zeile angesteuerten LEDs eingetragen. 
Achtung: Nicht manuell verändern";"The number of LEDs controlled by this line is automatically entered here.
Warning: do not change manually.";"Het aantal LED's dat door deze lijn wordt bestuurd, wordt hier automatisch ingevoerd. 
Waarschuwing: Verander dit niet met de hand!";"Le nombre de LED contrôlées par cette ligne est automatiquement saisi ici.
Attention: ne changez pas manuellement.";"The number of LEDs controlled by this line is automatically entered here.
Warning: do not change manually.";"The number of LEDs controlled by this line is automatically entered here.
Warning: do not change manually.";Antallet af LED'er, der styres af denne linje, indtastes automatisk her. Advarsel: skift ikke manuelt.
Comment_DCC;M2;"Diese Spalte enthält die Anzahl der benutzten Eingangskanäle. Sie wird automatisch vom Programm geschrieben.
Achtung: Nicht manuell ändern. ";"This column contains the number of input channels used. It is written automatically by the program.
Warning: do not change manually. ";"Deze kolom bevat het aantal gebruikte ingangskanalen. Het wordt automatisch geschreven door het programma.
Waarschuwing: Verander dit niet met de hand!";"Cette colonne contient le nombre de canaux d'entrée utilisés. Il est écrit automatiquement par le programme.
Attention: ne changez pas manuellement.";"This column contains the number of input channels used. It is written automatically by the program.
Warning: do not change manually. ";"This column contains the number of input channels used. It is written automatically by the program.
Warning: do not change manually. ";Denne kolonne indeholder antallet af anvendte inputkanaler. Det skrives automatisk af programmet. Advarsel: skift ikke manuelt.
Comment_DCC;N2;"Sie enthält die Anzahl der lokal benutzten InCh Kanäle. Sie wird automatisch vom Programm geschrieben.
Achtung: Nicht manuell ändern.";"It contains the number of InCh channels used locally. It is written automatically by the program.
Warning: do not change manually.";"Het bevat het aantal lokaal gebruikte InCh-kanalen. Het wordt automatisch geschreven door het programma.
Waarschuwing: Verander dit niet met de hand!";Il contient le nombre de canaux InCh utilisés localement. Il est écrit automatiquement par le programme. Attention: ne changez pas manuellement.;"It contains the number of InCh channels used locally. It is written automatically by the program.
Warning: do not change manually.";"It contains the number of InCh channels used locally. It is written automatically by the program.
Warning: do not change manually.";Det indeholder antallet af InCh-kanaler, der bruges lokalt. Det skrives automatisk af programmet. Advarsel: skift ikke manuelt.
Comment_SX;D2;"Hier wird der Selectrix Kanal eingetragen.
Alternativ kann hier ein Schalter (z.B. ""SwitchB7"") oder eine selbst
definierte Variable (2.3. ""HausA"") eingetragen werden.";"The Selectrix channel is entered here. Alternatively, a switch (e.g. ""SwitchB7"") or a self-defined variable (2.3. ""HausA"") can be entered here.";"Hier wordt het Selectrix-kanaal ingevoerd. Als alternatief kan hier een schakelaar (bijv. ""SwitchB7"") of een zelfgedefinieerde variabele (2.3. ""HausA"") worden ingevoerd.";"Le canal Selectrix est entré ici. Alternativement, un commutateur (par exemple ""SwitchB7"") ou une variable auto-définie (2.3. ""HausA"") peut être entré ici.";"Il canale Selectrix è inserito qui. In alternativa, qui è possibile inserire uno switch (ad es. ""SwitchB7"") o una variabile definita dall'utente (2.3. ""HausA"").";"El canal Selectrix se ingresa aquí. Alternativamente, se puede ingresar aquí un interruptor (por ejemplo, ""SwitchB7"") o una variable autodefinida (2.3. ""HausA"").";"Selectrix-kanalen indtastes her. Alternativt kan der indtastes en switch (f.eks. ""SwitchB7"") eller en selvdefineret variabel (2.3. ""HausA"")."
Comment_SX;E2;Hier wird die Bitposition innerhalb des Kanals eingetragen. ;The bit position within the channel is entered here.;De bitpositie binnen het kanaal wordt hier ingevoerd.;La position du bit dans le canal est entrée ici.;The bit position within the channel is entered here.;The bit position within the channel is entered here.;Bitpositionen inden for kanalen indtastes her.
Comment_SX;F2;"Typ des Eingangs:
AnAus, Rot, Grün";"Type of input:
OnOff, red, green";Invoertype: Aan/Uit, Rood, Groen;Type d'entrée: OnOff, rouge, vert;"Type of input:
OnOff, red, green";"Type of input:
OnOff, red, green";Type input: OnOff, rød, grøn
Comment_SX;G2;"Definiert den Startwert des Eingangskanals nachdem die Versorgungsspannung eingeschaltet wurde. Er ist gültig bis die entsprechende Selectrix Nachricht empfangen wird.

Ist die automatische Speicherung des Letztzustandes aktiviert kann durch Eingabe von '0'  die Zustandsspeicherung für diese Zeile deaktiviert werden. 
Durch Eingabe von '*'  wird die Zustandsspeicherung für diese Zeile erzwungen, sofern die Funktion einen Zustand speichern kann, die Standardeinstellung dies aber deaktiviert (z.B. alle Counter mit Timeout).";"Defines the start value of the input channel after the supply voltage has been switched on. It is valid until the corresponding Selectrix message is received. 

If the automatic saving of the last state is activated, the state storage for this line can be deactivated by entering '0'. Entering '*' will force the state to be saved for this line, provided the function can save a state, but the default setting deactivates it (e.g. all counters with a timeout).";"Definieert de startwaarde van het ingangskanaal nadat de voedingsspanning is ingeschakeld. Het is geldig totdat het bijbehorende Selectrix-bericht is ontvangen. 

Als het automatisch opslaan van de laatste status is geactiveerd, kan de statusopslag voor deze regel worden gedeactiveerd door '0' in te voeren. Als u '*' invoert, wordt de status voor deze regel opgeslagen, op voorwaarde dat de functie een status kan opslaan, maar de standaardinstelling deactiveert deze (bijvoorbeeld alle tellers met een time-out).";"Définit la valeur de démarrage du canal d'entrée après la mise sous tension de l'alimentation. Il est valable jusqu'à la réception du message Selectrix correspondant. 

Si la sauvegarde automatique du dernier état est activée, la mémoire d'état de cette ligne peut être désactivée en entrant «0». La saisie de '*' forcera l'enregistrement de l'état pour cette ligne, à condition que la fonction puisse enregistrer un état, mais le paramètre par défaut le désactive (par exemple, tous les compteurs avec un délai d'expiration).";"Definisce il valore iniziale del canale di ingresso dopo l'accensione della tensione di alimentazione. È valido fino alla ricezione del messaggio Selectrix corrispondente. 

Se il salvataggio automatico dell'ultimo stato è attivato, la memorizzazione dello stato per questa linea può essere disattivata inserendo '0'. L'immissione di '*' imporrà il salvataggio dello stato per questa linea, a condizione che la funzione possa salvare uno stato, ma l'impostazione predefinita lo disattiva (ad es. Tutti i contatori con un timeout).";"Define el valor de inicio del canal de entrada después de que se haya conectado la tensión de alimentación. Es válido hasta que se reciba el mensaje Selectrix correspondiente. 

Si se activa el guardado automático del último estado, el almacenamiento de estado para esta línea se puede desactivar ingresando '0'. Al ingresar '*', se forzará el estado para que se guarde para esta línea, siempre que la función pueda guardar un estado, pero la configuración predeterminada lo desactiva (por ejemplo, todos los contadores con un tiempo de espera).";Definerer startværdien for indgangskanalen, efter at forsyningsspændingen er tændt. Den er gyldig, indtil den tilsvarende Selectrix-meddelelse er modtaget. Hvis den automatiske gemning af den sidste tilstand er aktiveret, kan statuslageret for denne linje deaktiveres ved at indtaste '0'. Indtastning af '*' tvinger den stat, der gemmes for denne linje, forudsat at funktionen kan gemme en tilstand, men standardindstillingen deaktiverer den (f.eks. Alle tællere med en timeout).
Comment_SX;H2;Hier sollte ein beliebiger Text zur Dokumentation eingegeben werden damit man sich später wieder zurechtfindet. Mit Alt+Enter kann mit einer neuen Zeile begonnen werden.;Any text for documentation should be entered here so that you can find your way around later. You can start a new line with Alt + Enter.;Alle tekst voor documentatie moet hier worden ingevoerd, zodat u later de weg kunt vinden. U kunt een nieuwe regel starten met Alt+Enter.;Tout texte pour la documentation doit être entré ici afin que vous puissiez vous repérer plus tard. Vous pouvez commencer une nouvelle ligne avec Alt Enter.;Any text for documentation should be entered here so that you can find your way around later. You can start a new line with Alt + Enter.;Any text for documentation should be entered here so that you can find your way around later. You can start a new line with Alt + Enter.;All tekst til dokumentation skal indtastes her, så du kan finde vej senere. Du kan starte en ny linje med Alt Enter.
Comment_SX;I2;In dieser Spalte kann eine Nummer oder eine Bezeichnung des Verteilers eingetragen werden an dem die LEDs angeschlossen sind.;A number or a designation of the distributor board to which the LEDs are connected can be entered in this column.;In deze kolom kan een nummer of een aanduiding van de verdeler worden ingevoerd waarop de LED's zijn aangesloten.;Un numéro ou une désignation du distributeur auquel les LED sont connectées peut être entré dans cette colonne.;A number or a designation of the distributor board to which the LEDs are connected can be entered in this column.;A number or a designation of the distributor board to which the LEDs are connected can be entered in this column.;Et nummer eller en betegnelse på fordelerkortet, som LED'erne er forbundet til, kan indtastes i denne kolonne.
Comment_SX;J2;Hier kann die Nummer des Steckplatzes der Verteilerplatine eingetragen werden welche von der angeschlossenen Baugruppe benutzt wird.;Here you can enter the number of the slot on the distributor board which is used by the connected module.;Hier kunt u het nummer van het slot op het verdeelbord invoeren dat door de aangesloten module wordt gebruikt.;Ici, vous pouvez entrer le numéro de l'emplacement sur la carte de distribution utilisé par le module connecté.;Here you can enter the number of the slot on the distributor board which is used by the connected module.;Here you can enter the number of the slot on the distributor board which is used by the connected module.;Her kan du indtaste nummeret på sporet på fordelerkortet, der bruges af det tilsluttede modul.
Comment_SX;K2;"Hier werden mit einem Doppelklick oder dem ""Dialog"" Knopf die Funktionen zum ansteuern der LEDs oder der anderen Verbraucher eingetragen.
Achtung: Die Einträge sollten nur von Experten manuell verändert werden.";"The functions for controlling the LEDs or other consumers are entered here with a double click or the ""Dialog"" button.
Attention: The entries should only be changed manually by experts.";"De functies voor het aansturen van de LED's of andere verbruikers worden hier ingevoerd met een dubbele klik of de ""Dialoog"" knop.";"Ici, les fonctions de contrôle des LED ou des autres consommateurs sont entrées avec un double clic ou le bouton ""Dialogue"" Attention: Les entrées ne doivent être modifiées que manuellement par des experts.";"The functions for controlling the LEDs or other consumers are entered here with a double click or the ""Dialog"" button.
Attention: The entries should only be changed manually by experts.";"The functions for controlling the LEDs or other consumers are entered here with a double click or the ""Dialog"" button.
Attention: The entries should only be changed manually by experts.";"Funktioner til styring af lysdioder eller andre forbrugere indtastes her med et dobbeltklik eller knappen ""Dialog"". OBS: Indgange skal kun ændres manuelt af eksperter."
Comment_SX;L2;Diese Spalte enthält die Startnummer der ersten LED dieser Zeile. Die Nummer ergibt sich aus der Zeilenposition und der Anzahl der vorangegangenen LEDs. Die Zahl kann nicht verändert werden.;This column contains the start number of the first LED in this line. The number results from the line position and the number of previous LEDs. The number cannot be changed.;Deze kolom bevat het startnummer van de eerste LED in deze regel. Het nummer is het resultaat van de lijnpositie en het aantal vorige LED's. Het nummer kan niet worden gewijzigd.;Cette colonne contient le numéro de départ de la première LED de cette ligne. Le nombre résulte de la position de la ligne et du nombre de LED précédentes. Le numéro ne peut pas être modifié.;This column contains the start number of the first LED in this line. The number results from the line position and the number of previous LEDs. The number cannot be changed.;This column contains the start number of the first LED in this line. The number results from the line position and the number of previous LEDs. The number cannot be changed.;Denne kolonne indeholder startnummeret for den første LED i denne linje. Nummeret er resultatet af linjepositionen og antallet af tidligere LED'er. Nummeret kan ikke ændres.
Comment_SX;M2;"Hier wird automatisch die Anzahl der von dieser Zeile angesteuerten LEDs eingetragen. 
Achtung: Nicht manuell verändern";"The number of LEDs controlled by this line is automatically entered here.
Warning: do not change manually.";"Het aantal LED's dat door deze lijn wordt bestuurd, wordt hier automatisch ingevoerd. 
Waarschuwing: Verander dit niet met de hand!";"Le nombre de LED contrôlées par cette ligne est automatiquement saisi ici.
Attention: ne changez pas manuellement.";"The number of LEDs controlled by this line is automatically entered here.
Warning: do not change manually.";"The number of LEDs controlled by this line is automatically entered here.
Warning: do not change manually.";Antallet af LED'er, der styres af denne linje, indtastes automatisk her. Advarsel: skift ikke manuelt.
Comment_SX;N2;"Diese Spalte enthält die Anzahl der benutzten Eingangskanäle. Sie wird automatisch vom Programm geschrieben.
Achtung: Nicht manuell ändern. ";"This column contains the number of input channels used. It is written automatically by the program.
Warning: do not change manually. ";"Deze kolom bevat het aantal gebruikte ingangskanalen. Het wordt automatisch geschreven door het programma.
Waarschuwing: Verander dit niet met de hand!";"Cette colonne contient le nombre de canaux d'entrée utilisés. Il est écrit automatiquement par le programme.
Attention: ne changez pas manuellement.";"This column contains the number of input channels used. It is written automatically by the program.
Warning: do not change manually. ";"This column contains the number of input channels used. It is written automatically by the program.
Warning: do not change manually. ";Denne kolonne indeholder antallet af anvendte inputkanaler. Det skrives automatisk af programmet. Advarsel: skift ikke manuelt.
