Liste der in der MobaLedLib verfügbaren Macros;;;;;;;;;;;L;;.\Icons;;;Test Language:;-1;;;09.08.2019;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Typ;Mode;LEDs or LED Channel;InCnt;OutCnt;Loc InCh;Tmp8Bit;SingleLEDCnt;Default Channel;Type;List Sort;Tree Sort;TreeView Mode;Picture Names;Macro;Find Name for detection of actual macro;Name;Group Names;Makroname in Deutsch;Kurzbeschreibung;Ausführliche Beschreibung;"Group Names
Englisch";"Macro name
English";"Kurzbeschreibung
English";"Ausführliche Beschreibung
English";"Group Names
Dutch";"Macro name
Dutch";"Kurzbeschreibung
Dutch";"Ausführliche Beschreibung
Dutch";"Group Names
French";"Macro name
French";"Kurzbeschreibung
French";"Ausführliche Beschreibung
French";"Group Names
Italian";"Macro name
Italian";"Kurzbeschreibung
Italian";"Ausführliche Beschreibung
Italian";"Group Names
Spain";"Macro name
Spain";"Kurzbeschreibung
Spain";"Ausführliche Beschreibung
Spain";"Group Names
Dänish";"Macro name
Dänish";"Kurzbeschreibung
Dänish";"Ausführliche Beschreibung
Dänisch"
;;1;1;0;1;0;;;;59;40;;| LightBulb | Welding | Welding;RandWelding(   LED, InCh, #LocInCh, MinTime, MaxTime, MinOn, MaxOn);RandWelding(;RandWelding;Licht | Lichteffekte | Schweißlicht;Schweißlicht zufällig;Mit der RandWelding() Funktion kann ein zufällig aktives Schweißlicht simuliert werden.;Mit dieser Funktion wird das Schweißlicht zufällig gesteuert. Die Zeiten MinTime und MaxTime bestimmen den Zufälligen Startzeitpunkt. Über MinOn und MaxOn wird angegeben wie lange eine die Arbeit an einem Werkstück dauert.;Light | Light effects | Welding light;Welding light accidental;"A randomly active welding light can be simulated with the ""RandWelding ()"" function.";"This function controls the welding light at random. The ""MinTime"" and ""MaxTime"" times determine the random start time. ""MinOn"" and ""MaxOn"" indicate how long it takes to work on a workpiece.";Licht | Lichteffecten | Lassen licht;Laslicht per ongeluk;"Een willekeurig actief laslicht kan worden gesimuleerd met de functie ""RandWelding ()"".";"Met deze functie wordt het laslicht willekeurig geregeld. De tijden ""MinTime"" en ""MaxTime"" bepalen de willekeurige starttijd. ""MinOn"" en ""MaxOn"" geven aan hoe lang het duurt om aan een werkstuk te werken.";Léger | Effets de lumière | Lampe de soudage;Léger de soudage accidentelle;"Une lumière de soudage active de manière aléatoire peut être simulée avec la fonction ""RandWelding ()"".";"Cette fonction contrôle la lumière de soudage au hasard. Les heures ""MinTime"" et ""MaxTime"" déterminent l'heure de début aléatoire. ""MinOn"" et ""MaxOn"" indiquent combien de temps il faut pour travailler sur une pièce.";Leggero | Effetti di luce | Leggero di saldatura;Luce di saldatura accidentale;"Una luce di saldatura attiva casualmente può essere simulata con la funzione ""RandWelding ()"".";"Questa funzione controlla la luce di saldatura in modo casuale. I tempi ""MinTime"" e ""MaxTime"" determinano l'ora di inizio casuale. ""MinOn"" e ""MaxOn"" indicano il tempo impiegato per lavorare un pezzo.";Luz | Efectos de luz | Luz de soldadura;Luz de soldadura accidental;"Se puede simular una luz de soldadura activa al azar con la función ""RandWelding ()"".";"Esta función controla la luz de soldadura al azar. Los tiempos ""MinTime"" y ""MaxTime"" determinan el tiempo de inicio aleatorio. ""MinOn"" y ""MaxOn"" indican cuánto tiempo lleva trabajar en una pieza de trabajo.";Lys | Lyseffekter | Svejselys;Svejselys ved et uheld;"Et tilfældigt aktivt svejselys kan simuleres med funktionen ""RandWelding ()"".";"Denne funktion styrer svejselyset tilfældigt. Tiderne ""MinTime"" og ""MaxTime"" bestemmer den tilfældige starttid. ""MinOn"" og ""MaxOn"" angiver, hvor lang tid det tager at arbejde på et emne."
;;LedCnt;1;0;0;0;;;;60;11;;| LightBulb | Fire;Fire(          LED,InCh, LedCnt, Brightness);Fire(;Fire;Licht | Lichteffekte;Feuer;Mit der Fire() Funktion können größere Feuer simuliert werden.;Mit der Fire() Funktion können größere Feuer simuliert werden. Dazu werden mehrere RGB LEDs verwendet welche an unterschiedlichen Stellen des Feuers leuchten. Es sind maximal 100 LEDs möglich.;Light | Light effects;Fire;"Larger fires can be simulated with the ""Fire ()"" function.";"Larger fires can be simulated with the ""Fire ()"" function. For this purpose, several RGB LEDs are used which light up at different points in the ""fire"". A maximum of 100 LEDs are possible.";Licht | Lichteffecten;Vuur;"Grotere branden kunnen worden gesimuleerd met de functie ""Vuur ()"".";"Met de functie ""Fire ()"" kunnen grotere branden worden gesimuleerd. Hiervoor worden meerdere RGB-leds gebruikt die op verschillende punten in het ""vuur"" oplichten. Er zijn maximaal 100 leds mogelijk.";Léger | Effets de lumière;Feu;"Les incendies plus importants peuvent être simulés avec la fonction ""Fire ()"".";"Les incendies plus importants peuvent être simulés avec la fonction ""Fire ()"". A cet effet, plusieurs LED RGB sont utilisées qui s'allument à différents points du ""feu"". Un maximum de 100 LED est possible.";Leggero | Effetti di luce;Fuoco;"Gli incendi più grandi possono essere simulati con la funzione ""Fuoco ()"".";"Gli incendi più grandi possono essere simulati con la funzione ""Fuoco ()"". A tale scopo, vengono utilizzati diversi LED RGB che si accendono in diversi punti del ""fuoco"". Sono possibili al massimo 100 LED.";Luz | Efectos de luz;Fuego;"Los incendios más grandes se pueden simular con la función ""Fire ()"".";"Los incendios más grandes se pueden simular con la función ""Fire ()"". Para este propósito, se utilizan varios LED RGB que se iluminan en diferentes puntos del ""fuego"". Un máximo de 100 LED son posibles.";Lys | Lyseffekter;Ild;"Større brande kan simuleres med funktionen ""Fire ()"".";"Større brande kan simuleres med funktionen ""Fire ()"". Til dette formål anvendes flere RGB-LED'er, der lyser op på forskellige punkter i ""ilden"". Højst 100 lysdioder er mulige."
;;1;1;0;1;0;;;;61;12;;| LightBulb | Neon;Def_Neon_Misha(LED, InCh, #LocInCh, Min_Delay, Max_Delay);Def_Neon_Misha(;Def_Neon_Misha;Licht | Lichteffekte;Defekte Neonlampe;Simulation eines defekten Neonlicht von Misha;Für diese Simulation wurde der Pattern_Configurator benutzt.;Light | Light effects;Defective neon lamp;Simulation of a broken neon light from Misha;The Pattern_Configurator was used for this simulation.;Licht | Lichteffecten;Defecte neonlamp;Simulatie van een gebroken neonlicht van Misha;Voor deze simulatie is de Pattern_Configurator gebruikt.;Léger | Effets de lumière;Lampe néon défectueuse;Simulation d'un néon brisé de Misha;Le Pattern_Configurator a été utilisé pour cette simulation.;Leggero | Effetti di luce;Lampada al neon difettosa;Simulazione di una luce al neon rotta da Misha;Pattern_Configurator è stato utilizzato per questa simulazione.;Luz | Efectos de luz;Lámpara de neón defectuosa;Simulación de una luz de neón rota de Misha;Se utilizó Pattern_Configurator para esta simulación.;Lys | Lyseffekter;Defekt neonlampe;Simulering af et brudt neonlys fra Misha;Pattern_Configurator blev brugt til denne simulering.
;;;;;;;;;;62;335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Logic;1;0;0;;;;63;216;;Control | Dependence | gateAND;Logic(         DstVar, ...);Logic(;Logic;Schalten | Abhängigkeiten;Logische Verknüpfung;Logische Verknüpfungen mehrerer Eingangsvariablen zu einer Ausgangsvariable;"Mit dieser Funktion können logische Verknüpfungen umgesetzt werden. Mit ihr werden mehrere Eingangsvariablen über NOT, AND und OR miteinander verknüpft und in die Ausgangsvariable DstVar geschrieben. Die logischen Verknüpfungen müssen als Disjunktive Normalform (DNF) ausgedrückt werden. Bei dieser Darstellung werden Gruppen von AND Verknüpfungen mit OR kombiniert:
   (A AND B) OR (A AND NOT C) OR D
Die Klammern werden bei der DNF nicht dargestellt (Implizite Klammerung). Im Makro sieht das dann so aus:
   Logic(ErgVar, A AND B OR A AND NOT C OR D)
Die Symbolische Variable '#InCh' repräsentiert die Eingangsvariable welche über DCC, Selectrix oder CAN an die Zeile übergeben wird.";Switching | Dependencies;Logical link;Logical links of several input variables to one output variable;"This function can be used to implement logical expressions. It is used to combine several input variables via ""NOT"", ""AND"" and ""OR"" and write them to the output variable ""DstVar"". The logical operationes must be expressed as disjunctive normal form (DNF). In this notation groups of ""AND"" expressions are combined with ""OR"":
  (A AND B) OR (A AND NOT C) OR D
The brackets are not shown in the DNF (implicit brackets). In the macro it looks like this: 
   Logic(ErgVar, A AND B OR A AND NOT C OR D)
The symbolic variable '#InCh' represents the input variable which is transferred to the line via DCC, Selectrix or CAN.";Overschakelen | afhankelijkheden;Logische link;Logische koppelingen van verschillende invoervariabelen naar één uitvoervariabele;"Deze functie kan worden gebruikt om logische uitdrukkingen te implementeren. Het wordt gebruikt om verschillende invoervariabelen te combineren via ""NOT"", ""AND"" en ""OR"" en ze te schrijven naar de uitvoervariabele ""DstVar"". De logische operaties moeten worden uitgedrukt als disjunctieve normale vorm (DNF). In deze notatie worden groepen van ""AND"" -uitdrukkingen gecombineerd met ""OR"": 
   (A AND B) OR (A AND NOT C) OR D 
De haakjes worden niet weergegeven in de DNF (impliciete haakjes). In de macro ziet het er zo uit: 
  Logic(ErgVar, A AND B OR A AND NOT C OR D)
De symbolische variabele '#InCh' vertegenwoordigt de ingangsvariabele die via DCC, Selectrix of CAN naar de lijn wordt overgebracht.";Commutation | Dépendances;Lien logique;Liens logiques de plusieurs variables d'entrée vers une variable de sortie;"Cette fonction peut être utilisée pour implémenter des expressions logiques. Il est utilisé pour combiner plusieurs variables d'entrée via ""NOT"", ""AND"" et ""OR"" et les écrire dans la variable de sortie ""DstVar"". Les opérations logiques doivent être exprimées sous forme normale disjonctive (DNF). Dans cette notation, les groupes d'expressions ""AND"" sont combinés avec ""OR"":
   (A AND B) OR (A AND NOT C) OR D 
Les crochets ne sont pas affichés dans le DNF (crochets implicites). Dans la macro, cela ressemble à ceci: 
Logic(ErgVar, A AND B OR A AND NOT C OR D) 
La variable symbolique '#InCh' représente la variable d'entrée qui est transférée à la ligne via DCC, Selectrix ou CAN.";Commutazione | Dipendenze;Collegamento logico;Collegamenti logici di più variabili di input a una variabile di output;"Questa funzione può essere utilizzata per implementare espressioni logiche. Viene utilizzato per combinare diverse variabili di input tramite ""NOT"", ""AND"" e ""OR"" e scriverle nella variabile di output ""DstVar"". Le operazioni logiche devono essere espresse come forma normale disgiuntiva (DNF). In questa notazione gruppi di espressioni ""AND"" sono combinate con ""OR"": 
  (A AND B) OR (A AND NOT C) OR D 
Le parentesi non sono mostrate nel DNF (parentesi implicite). Nella macro è simile al seguente:
   Logic(ErgVar, A AND B OR A AND NOT C OR D)
La variabile simbolica '#InCh' rappresenta la variabile di input che viene trasferita alla linea tramite DCC, Selectrix o CAN.";Conmutación | Dependencias;Enlace lógico;Enlaces lógicos de varias variables de entrada a una variable de salida;"Esta función se puede usar para implementar expresiones lógicas. Se utiliza para combinar varias variables de entrada a través de ""NOT"", ""AND"" y ""OR"" y escribirlas en la variable de salida ""DstVar"". Las operaciones lógicas deben expresarse como forma normal disyuntiva (DNF). En esta notación, los grupos de expresiones ""AND"" se combinan con ""OR"": 
  (A AND B) OR (A AND NOT C) OR D 
Los corchetes no se muestran en el DNF (corchetes implícitos). En la macro se ve así: 
   Logic(ErgVar, A AND B OR A AND NOT C OR D) 
La variable simbólica '#InCh' representa la variable de entrada que se transfiere a la línea a través de DCC, Selectrix o CAN.";Skifter | Afhængigheder;Logisk link;Logiske links mellem flere inputvariabler til en outputvariabel;"Denne funktion kan bruges til at implementere logiske udtryk. Det bruges til at kombinere flere inputvariabler via ""NOT"", ""AND"" og ""OR"" og skrive dem til outputvariablen ""DstVar"". De logiske operationer skal udtrykkes som disjunktiv normal form (DNF). I denne notation er grupper af ""OG"" -udtryk kombineret med ""ELLER"": 
 (A OG B) ELLER (A OG IKKE C) ELLER D 
 Beslagene vises ikke i DNF (implicit parentes). I makroen ser det sådan ud: 
 Logic (ErgVar, A OG B ELLER A OG IKKE C ELLER D) 
 Den symbolske variabel '#InCh' repræsenterer inputvariablen, der overføres til linjen via DCC, Selectrix eller CAN."
;;;;;;;;;;64;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E;;1;n..;0;0;;;3;65;226;;Control | Automation | Counter;Counter(       CtrMode, InCh, Enable, TimeOut, OutList);Counter(;Counter;Schalten | Automatisierung;Zählwerk;Die Counter() Funktion kann für die verschiedensten (Zähler) Aufgaben verwendet werden.;"Mit der Counter Funktion können verschiedene Funktionen implementiert werden. Das sind nicht nur Zähler sondern auch Funktionen wie Flip-Flops, Mono Flops,  Der Befehl wird über einen Mode Parameter gesteuert. Details dazu findet an in ""MobaLedLib Ein kurzer Ueberblick.docx""";Switching | Automation;Counter;"The ""Counter ()"" function can be used for various (counter) tasks.";"Various functions can be implemented with the counter function. These are not only counters but also functions such as flip-flops, mono-flops, ... The command is controlled via a mode parameter. Details can be found in ""MobaLedLib A brief overview.docx""";Overschakelen | Automatisering;Balie;"De functie ""Teller ()"" kan worden gebruikt voor verschillende (teller) taken.";"Verschillende functies kunnen worden geïmplementeerd met de tellerfunctie. Dit zijn niet alleen tellers, maar ook functies zoals flip-flops, mono-flops, ... Het commando wordt bestuurd via een modusparameter. Details zijn te vinden in ""MobaLedLib Een kort overzicht.docx""";Commutation | Automatisation;Contrer;"La fonction ""Counter ()"" peut être utilisée pour diverses tâches (counter).";"Diverses fonctions peuvent être implémentées avec la fonction compteur. Ce ne sont pas seulement des compteurs mais aussi des fonctions telles que des tongs, des mono-flops, ... La commande est contrôlée via un paramètre de mode. Les détails peuvent être trouvés dans ""MobaLedLib A brief overview.docx""";Commutazione | Automazione;Contatore;"La funzione ""Contatore ()"" può essere utilizzata per varie attività (contatore).";"Varie funzioni possono essere implementate con la funzione contatore. Questi non sono solo contatori ma anche funzioni come flip-flop, mono-flop, ... Il comando è controllato tramite un parametro mode. Dettagli sono disponibili in ""MobaLedLib Una breve panoramica.docx""";Conmutación | Automatización;Encimera;"La función ""Counter ()"" se puede usar para varias tareas (counter).";"Se pueden implementar varias funciones con la función de contador. Estos no son solo contadores sino también funciones como flip-flops, mono-flops, ... El comando se controla mediante un parámetro de modo. Los detalles se pueden encontrar en ""MobaLedLib A breve overview.docx""";Skifter | Automatisering;Tæller;"Funktionen ""Tæller ()"" kan bruges til forskellige (tæller) opgaver.";"Forskellige funktioner kan implementeres med tællerfunktionen. Dette er ikke kun tællere, men også funktioner såsom flip-flops, mono-flops, ... Kommandoen styres via en tilstandsparameter. Detaljer kan findes i ""MobaLedLib En kort oversigt.docx"""
;;;1;n2;0;0;;;;66;230;;Control | Automation | DiceR;RandMux(       DstVar1, DstVarN, InCh, RandMode, MinTime, MaxTime);RandMux(;RandMux;Schalten | Automatisierung;Zufallsschaltung;Die RandMux() Funktion aktiviert zufällig einen der Ausgänge.;"Die Ausgänge werden über die Zahlen DstVar1 bis DstVarN definiert. DstVar1 wird aktiviert, wenn InCh nicht aktiviert ist. Bei aktivem InCh werden zufällig DstVar2 bis DestVarN aktiviert.
Über MinTime wird bestimmt, wie lange ein Ausgang minimal aktiv ist. MaxTime beschreibt analog die maximale Zeit, die der Ausgang aktiv bleiben soll. Das Programm bestimmt zwischen diesen beiden Eckpunkten einen zufälligen Zeitpunkt zu dem ein zufälliger anderer Kanal aktiviert wird. Mit dieser Funktion kann zum Beispiel zwischen verschieden Lichteffekten für eine Disco umgeschaltet werden. 
Details dazu findet an in ""MobaLedLib Ein kurzer Ueberblick.docx""";Switching | Automation;Random switching;"The ""RandMux ()"" function randomly activates one of the outputs.";"The outputs are defined by the numbers ""DstVar1"" to ""DstVarN"". ""DstVar1"" is activated if ""InCh"" is not activated. When ""InCh"" is active, ""DstVar2"" to ""DestVarN"" are activated randomly. ""MinTime"" determines how long an output is minimally active. ""MaxTime"" describes the maximum time that the output should remain active. The program determines a random point in time between these two corner points at which a random other channel is activated. This function can be used, for example, to switch between different lighting effects for a disco. Details can be found in ""MobaLedLib A brief overview.docx""";Overschakelen | Automatisering;Willekeurig schakelen;"De functie ""RandMux ()"" activeert willekeurig een van de uitgangen.";"De uitgangen worden gedefinieerd door de nummers ""DstVar1"" tot ""DstVarN"". ""DstVar1"" is geactiveerd als ""InCh"" niet is geactiveerd. Wanneer ""InCh"" actief is, worden ""DstVar2"" tot ""DestVarN"" willekeurig geactiveerd. ""MinTime"" bepaalt hoe lang een uitgang minimaal actief is. ""MaxTime"" beschrijft de maximale tijd dat de uitgang actief moet blijven. Het programma bepaalt een willekeurig tijdstip tussen deze twee hoekpunten waarop een willekeurig ander kanaal wordt geactiveerd. Deze functie kan bijvoorbeeld worden gebruikt om te schakelen tussen verschillende lichteffecten voor een disco. Details zijn te vinden in ""MobaLedLib Een kort overzicht.docx""";Commutation | Automatisation;Commutation aléatoire;"La fonction ""RandMux ()"" active aléatoirement une des sorties.";"Les sorties sont définies par les nombres ""DstVar1"" à ""DstVarN"". ""DstVar1"" est activé si ""InCh"" n'est pas activé. Lorsque ""InCh"" est actif, ""DstVar2"" à ""DestVarN"" sont activés de manière aléatoire. ""MinTime"" détermine la durée pendant laquelle une sortie est active de façon minimale. ""MaxTime"" décrit la durée maximale pendant laquelle la sortie doit rester active. Le programme détermine un point temporel aléatoire entre ces deux points d'angle auquel un autre canal aléatoire est activé. Cette fonction peut être utilisée, par exemple, pour basculer entre différents effets d'éclairage pour une discothèque. Les détails peuvent être trouvés dans ""MobaLedLib A brief overview.docx""";Commutazione | Automazione;Cambio casuale;"La funzione ""RandMux ()"" attiva casualmente una delle uscite.";"Le uscite sono definite dai numeri da ""DstVar1"" a ""DstVarN"". ""DstVar1"" è attivato se ""InCh"" non è attivato. Quando ""InCh"" è attivo, da ""DstVar2"" a ""DestVarN"" vengono attivati ??in modo casuale. ""MinTime"" determina per quanto tempo un'uscita è minimamente attiva. ""MaxTime"" descrive il tempo massimo in cui l'uscita deve rimanere attiva. Il programma determina un punto casuale nel tempo tra questi due punti d'angolo in cui viene attivato un altro canale casuale. Questa funzione può essere utilizzata, ad esempio, per alternare diversi effetti di luce per una discoteca. Dettagli sono disponibili in ""MobaLedLib Una breve panoramica.docx""";Conmutación | Automatización;Conmutación aleatoria;"La función ""RandMux ()"" activa aleatoriamente una de las salidas.";"Las salidas están definidas por los números ""DstVar1"" a ""DstVarN"". ""DstVar1"" se activa si ""InCh"" no está activado. Cuando ""InCh"" está activo, ""DstVar2"" a ""DestVarN"" se activan aleatoriamente. ""MinTime"" determina cuánto tiempo una salida está mínimamente activa. ""MaxTime"" describe el tiempo máximo que la salida debe permanecer activa. El programa determina un punto aleatorio en el tiempo entre estos dos puntos de esquina en los que se activa un otro canal aleatorio. Esta función se puede usar, por ejemplo, para cambiar entre diferentes efectos de iluminación para una discoteca. Los detalles se pueden encontrar en ""MobaLedLib A breve overview.docx""";Skifter | Automatisering;Tilfældig skift;"Funktionen ""RandMux ()"" aktiverer tilfældigt en af ??output.";"Outputs er defineret af numrene ""DstVar1"" til ""DstVarN"". ""DstVar1"" er aktiveret, hvis ""InCh"" ikke er aktiveret. Når ""InCh"" er aktiv, aktiveres ""DstVar2"" til ""DestVarN"" tilfældigt. ""MinTime"" bestemmer, hvor længe en output er minimalt aktiv. ""MaxTime"" beskriver den maksimale tid, som output skal forblive aktiv. Programmet bestemmer et tilfældigt tidspunkt mellem disse to hjørnepunkter, hvor en tilfældig anden kanal aktiveres. Denne funktion kan f.eks. Bruges til at skifte mellem forskellige lyseffekter til et diskotek. Detaljer kan findes i ""MobaLedLib En kort oversigt.docx"""
;;;1;1;0;0;;;;67;231;;Control | Automation | DiceG;Random(        DstVar, InCh, RandMode, MinTime, MaxTime, MinOn, MaxOn);Random(;Random;Schalten | Automatisierung;Zufallsschaltung 1 Ausgang;Die Funktion Random() aktiviert einen Ausgang nach einer zufälligen Zeit.;"Die Funktion Random() aktiviert einen Ausgang nach einer zufälligen Zeit. Die Einschaltdauer kann ebenfalls zufällig sein. Damit kann man einen Effekt zufällig steuern. Eine Anwendung dafür ist das Blitzlicht eines Fotografens, das ab und zu blitzen soll. 
Mit den Parametern MinTime und MaxTime wird bestimmt in welchem zeitlichen Bereich die Funktion aktiv werden soll. Über MinOn und MaxOn wird die Dauer vorgegeben.";Switching | Automation;Random switching 1 output;"The ""Random ()"" function activates an output after a random time.";"The ""Random ()"" function activates an output after a random time. The duty cycle can also be random. , This allows you to control an effect at random. One application for this is the flash light of a photographer who is supposed to flash every now and then. With the parameters ""MinTime"" and ""MaxTime"" it is determined in which time range the function should be activated. The duration is specified via ""MinOn"" and ""MaxOn"".";Overschakelen | Automatisering;Willekeurig schakelen 1 uitgang;"De functie ""Random ()"" activeert een uitgang na een willekeurige tijd.";"De functie ""Random ()"" activeert een uitgang na een willekeurige tijd. De taakcyclus kan ook willekeurig zijn. , Hiermee kunt u een effect willekeurig regelen. Een toepassing hiervoor is het flitslicht van een fotograaf die zo nu en dan moet flitsen. Met de parameters ""MinTime"" en ""MaxTime"" wordt bepaald in welk tijdsbereik de functie moet worden geactiveerd. De duur wordt gespecificeerd via ""MinOn"" en ""MaxOn"".";Commutation | Automatisation;Commutation aléatoire 1 sortie;"La fonction ""Random ()"" active une sortie après un temps aléatoire.";"La fonction ""Random ()"" active une sortie après un temps aléatoire. Le rapport cyclique peut également être aléatoire. , Cela vous permet de contrôler un effet au hasard. Une application pour cela est la lumière du flash d'un photographe qui est censé flasher de temps en temps. Les paramètres ""MinTime"" et ""MaxTime"" déterminent dans quelle plage de temps la fonction doit être activée. La durée est spécifiée via ""MinOn"" et ""MaxOn"".";Commutazione | Automazione;Commutazione casuale 1 uscita;"La funzione ""Casuale ()"" attiva un'uscita dopo un tempo casuale.";"La funzione ""Casuale ()"" attiva un'uscita dopo un tempo casuale. Il ciclo di lavoro può anche essere casuale. , Ciò consente di controllare un effetto in modo casuale. Un'applicazione per questo è la luce del flash di un fotografo che dovrebbe lampeggiare ogni tanto. Con i parametri ""MinTime"" e ""MaxTime"" si determina in quale intervallo di tempo la funzione deve essere attivata. La durata viene specificata tramite ""MinOn"" e ""MaxOn"".";Conmutación | Automatización;Conmutación aleatoria 1 salida;"La función ""Aleatorio ()"" activa una salida después de un tiempo aleatorio.";"La función ""Aleatorio ()"" activa una salida después de un tiempo aleatorio. El ciclo de trabajo también puede ser aleatorio. , Esto le permite controlar un efecto al azar. Una aplicación para esto es la luz del flash de un fotógrafo que se supone que debe flash de vez en cuando. Con los parámetros ""MinTime"" y ""MaxTime"" se determina en qué rango de tiempo se debe activar la función. La duración se especifica a través de ""MinOn"" y ""MaxOn"".";Skifter | Automatisering;Tilfældig skift 1 udgang;"Funktionen ""Tilfældig ()"" aktiverer et output efter en tilfældig tid.";"Funktionen ""Tilfældig ()"" aktiverer et output efter en tilfældig tid. Arbejdscyklussen kan også være tilfældig. , Dette giver dig mulighed for at kontrollere en effekt tilfældigt. Et program til dette er flashlyset fra en fotograf, der antages at blinke hver nu og da. Med parametrene ""MinTime"" og ""MaxTime"" bestemmes det i hvilket tidsinterval funktionen skal aktiveres. Varigheden specificeres via ""MinOn"" og ""MaxOn""."
;E;;1;n2;0;0;;;;68;232;;Control | Automation | DiceB;RandCntMux(    DstVar1, DstVarN, InCh, RandMode, MinTime, MaxTime);RandCntMux(;RandCntMux;Schalten | Automatisierung;Zufallsschaltung sequenziell;"Die ""RandCntMux()"" Funktion aktiviert nach einer zufälligen Zeit den nächsten Ausgang.";"Diese Funktion ist ähnlich wie die ""RandMux()"" Funktion. Hier werden aber die Ausgänge nacheinander aktiviert wenn der nächste zufällige Zeitpunkt erreicht ist. ";Switching | Automation;Random switching sequentially;"The ""RandCntMux ()"" function activates the next output after a random time.";"This function is similar to the ""RandMux ()"" function. Here, however, the outputs are activated one after the other when the next random time is reached.";Overschakelen | Automatisering;Willekeurig sequentieel schakelen;"De functie ""RandCntMux ()"" activeert de volgende uitvoer na een willekeurige tijd.";"Deze functie is vergelijkbaar met de functie ""RandMux ()"". Hier worden de uitgangen echter na elkaar geactiveerd wanneer de volgende willekeurige tijd is bereikt.";Commutation | Automatisation;Commutation aléatoire séquentielle;"La fonction ""RandCntMux ()"" active la sortie suivante après un temps aléatoire.";"Cette fonction est similaire à la fonction ""RandMux ()"". Ici, cependant, les sorties sont activées l'une après l'autre lorsque la prochaine heure aléatoire est atteinte.";Commutazione | Automazione;Commutazione casuale in sequenza;"La funzione ""RandCntMux ()"" attiva l'uscita successiva dopo un tempo casuale.";"Questa funzione è simile alla funzione ""RandMux ()"". Qui, tuttavia, le uscite vengono attivate una dopo l'altra al raggiungimento del successivo tempo casuale.";Conmutación | Automatización;Cambio aleatorio secuencialmente;"La función ""RandCntMux ()"" activa la siguiente salida después de un tiempo aleatorio.";"Esta función es similar a la función ""RandMux ()"". Aquí, sin embargo, las salidas se activan una tras otra cuando se alcanza el siguiente tiempo aleatorio.";Skifter | Automatisering;Tilfældig skift sekventielt;"Funktionen ""RandCntMux ()"" aktiverer det næste output efter en tilfældig tid.";"Denne funktion ligner funktionen ""RandMux ()"". Her aktiveres imidlertid output efter hinanden, når den næste tilfældige tid er nået."
;E;;;;;;;;;69;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
