ParName;Cnt;Type;Min;Max;Default;Options;Input Text;Hint;Implementation comment;"Input Text
English";"Hint
English";"Input Text
Dutch";"Hint
Dutch";"Input Text
French";"Hint
French";"Input Text
Italian";"Hint
Italian";"Input Text
Spanish";"Hint
Spanish";"Input Text
Duch";"Hint
Duch";
Val0;5;;0;255;0;;Helligkeit wenn deaktiviert;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Brightness when deactivated;The brightness is a number between 0 and 255.;Helderheid wanneer gedeactiveerd;De helderheid is een getal tussen 0 en 255.;Luminosité lorsqu'elle est active;La luminosité est un nombre compris entre 0 et 255.;Luminosità quando disattivata;La luminosità è un numero compreso tra 0 e 255.;Brillo cuando está desactivado;El brillo es un número entre 0 y 255.;Lysstyrke, når den er deaktiveret;Lysstyrken er et tal mellem 0 og 255.;
Val1;9;;0;255;127;;Helligkeit wenn aktiv;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Brightness when active;The brightness is a number between 0 and 255.;Helderheid wanneer actief;De helderheid is een getal tussen 0 en 255.;Luminosité lorsqu'elle est active;La luminosité est un nombre compris entre 0 et 255.;Luminosità quando attiva;La luminosità è un numero compreso tra 0 e 255.;Brillo cuando está activo;El brillo es un número entre 0 y 255.;Lysstyrke, når den er aktiv;Lysstyrken er et tal mellem 0 og 255.;
R0;1;;0;255;0;;Rote Helligkeit wenn deaktiviert;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Red brightness when deactivated;The brightness is a number between 0 and 255.;Rode helderheid bij deactivering;De helderheid is een getal tussen 0 en 255.;Luminosité rouge lorsqu'elle est désactivée;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Luminosità rossa quando disattivata;La luminosità è un numero compreso tra 0 e 255.;Brillo rojo cuando está desactivado;El brillo es un número entre 0 y 255.;Rød lysstyrke, når den er deaktiveret;Lysstyrken er et tal mellem 0 og 255.;
G0;1;;0;255;0;;Grüne Helligkeit wenn deaktiviert;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Green brightness when deactivated;The brightness is a number between 0 and 255.;Groene helderheid indien gedeactiveerd;De helderheid is een getal tussen 0 en 255.;Luminosité verte lorsqu'elle est désactivée;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Luminosità verde quando disattivata;La luminosità è un numero compreso tra 0 e 255.;Brillo verde cuando está desactivado;El brillo es un número entre 0 y 255.;Grøn lysstyrke, når den er deaktiveret;Lysstyrken er et tal mellem 0 og 255.;
B0;1;;0;255;0;;Blaue Helligkeit wenn deaktiviert;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Blue brightness when deactivated;The brightness is a number between 0 and 255.;Blauwe helderheid indien gedeactiveerd;De helderheid is een getal tussen 0 en 255.;Luminosité du bleu lorsqu'il est désactivé;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Luminosità blu quando disattivata;La luminosità è un numero compreso tra 0 e 255.;Brillo azul cuando está desactivado;El brillo es un número entre 0 y 255.;Blå lysstyrke, når den er deaktiveret;Lysstyrken er et tal mellem 0 og 255.;
R1;1;;0;255;127;;Rote Helligkeit wenn aktiv;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Red brightness when active;The brightness is a number between 0 and 255.;Rode helderheid indien actief;De helderheid is een getal tussen 0 en 255.;Luminosité rouge lorsqu'elle est active;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Luminosità rossa quando attiva;La luminosità è un numero compreso tra 0 e 255.;Brillo rojo cuando está activo;El brillo es un número entre 0 y 255.;Rød lysstyrke, når den er aktiv;Lysstyrken er et tal mellem 0 og 255.;
G1;1;;0;255;127;;Grüne Helligkeit wenn aktiv;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Green brightness when active;The brightness is a number between 0 and 255.;Groene helderheid indien actief;De helderheid is een getal tussen 0 en 255.;Luminosité verte lorsqu'elle est active;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Luminosità verde quando attiva;La luminosità è un numero compreso tra 0 e 255.;Brillo verde cuando está activo;El brillo es un número entre 0 y 255.;Grøn lysstyrke, når den er aktiv;Lysstyrken er et tal mellem 0 og 255.;
B1;1;;0;255;127;;Blaue Helligkeit wenn aktiv;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Blue brightness when active;The brightness is a number between 0 and 255.;Blauwe helderheid indien actief;De helderheid is een getal tussen 0 en 255.;Luminosité du bleu lorsqu'elle est active;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Luminosità blu quando attiva;La luminosità è un numero compreso tra 0 e 255.;Brillo azul cuando está activo;El brillo es un número entre 0 y 255.;Blå lysstyrke, når den er aktiv;Lysstyrken er et tal mellem 0 og 255.;
DstVar;17;Var;0;255;;;Zielvariable;Name der Variable in der das Ergebnis gespeichert wird;;Target variable;Name of the variable in which the result is saved;Doelvariabele;Naam van de variabele waarin het resultaat wordt opgeslagen;Variable cible;Nom de la variable dans laquelle le résultat est enregistré;Variabile target;Nome della variabile in cui viene salvato il risultato;Variable objetivo;Nombre de la variable en la que se guarda el resultado.;Målvariabel;Navn på den variabel, hvor resultatet gemmes;
DstVar1;6;Var;;;;;Zielvariable 1;Name der ersten Variable in der das Ergebnis gespeichert wird;;Target variable 1;Name of the first variable in which the result is saved;Doelvariabele 1;Naam van de eerste variabele waarin het resultaat is opgeslagen;Variable cible 1;Nom de la première variable dans laquelle le résultat est enregistré;Variabile target 1;Nome della prima variabile in cui viene salvato il risultato;Variable objetivo 1;Nombre de la primera variable en la que se guarda el resultado.;Målvariabel 1;Navn på den første variabel, hvor resultatet gemmes;
DstVar2;8;Var;;;;;Zielvariable 2;Name der zweiten Variable in der das Ergebnis gespeichert wird;;Target variable 2;Name of the second variable in which the result is saved;Doelvariabele 2;Naam van de tweede variabele waarin het resultaat is opgeslagen;Variable cible 2;Nom de la deuxième variable dans laquelle le résultat est enregistré;Variabile target 2;Nome della seconda variabile in cui viene salvato il risultato;Variable objetivo 2;Nombre de la segunda variable en la que se guarda el resultado.;Målvariabel 2;Navn på den anden variabel, hvor resultatet gemmes;
DstVarN;2;Var;;;;;Letze Zielvariable;Name der letzten Variable in der das Ergebnis gespeichert wird;;Last target variable;Name of the last variable in which the result is saved;Laatste doelvariabele;Naam van de laatste variabele waarin het resultaat is opgeslagen;Dernière variable cible;Nom de la dernière variable dans laquelle le résultat est enregistré;Ultima variabile target;Nome dell'ultima variabile in cui viene salvato il risultato;Última variable objetivo;Nombre de la última variable en la que se guarda el resultado.;Sidste målvariabel;Navn på den sidste variabel, hvor resultatet gemmes;
MaxSoundNr;6;;1;;4;;Maximale Sound Nummer;Maximale Soundnummer|Modul MP3_F-16P: 14|Modul JQ6500: 5;Die Maximale Nummer ist abhängig vom Sound Modul. 14 beim MP3-TF-16P, 5 beim JQ6500;Maximum sound number;Maximum sound number | module MP3_F-16P: 14 | module JQ6500: 5;Maximaal geluidsnummer;Maximaal geluidsnummer | module MP3_F-16P: 14 | module JQ6500: 5;Nombre maximal de sons;Nombre maximal de sons | module MP3_F-16P: 14 | module JQ6500: 5;Numero audio massimo;Numero audio massimo | modulo MP3_F-16P: 14 | modulo JQ6500: 5;Número de sonido máximo;Número de sonido máximo | módulo MP3_F-16P: 14 | módulo JQ6500: 5;Maksimum lydnummer;Maksimum lydnummer | modul MP3_F-16P: 14 | modul JQ6500: 5;
...;4;Logic;;;#InCh;w=300;;Logischer Ausdruck in DNF (Mögliche Operatoren: AND, OR, NOT);;...;Logical expression in DNF (possible operators: AND, OR, NOT);...;Logische uitdrukking in DNF (mogelijke operatoren: AND, OR, NOT);...;Expression logique en DNF %28opérateurs possibles : AND, OR, NOT%29;...;Espressione logica in DNF %28operatori possibili: AND, OR, NOT%29;...;Expresión lógica en DNF %28 operadores posibles: AND, OR, NOT%29;...;Logisk udtryk i DNF %28mulige operatorer: AND, OR, NOT%29;...
OutList;1;OutList;;;;w=300 ;...;Liste mit Zielvariablen welche per Komma getrennt sind;;;List of target variables separated by commas;...;Lijst met doelvariabelen gescheiden door komma's;;Liste des variables cibles séparées par des virgules;...;Elenco delle variabili target separate da virgole;...;Lista de variables objetivo separadas por comas;...;Liste over målvariabler adskilt med kommaer;
MinTime;4;Time;0;1048560;5 Sek;;Minimale Zeit;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Minimal time;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Minimale tijd;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Temps minimal;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Tempo minimo;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Tiempo mínimo;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Minimal tid;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
MaxTime;4;Time;0;1048560;120 Sek;;Maximale Zeit;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Maximum time;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Maximale tijd;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Temps maximum;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Tempo massimo;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Tiempo maximo;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Maksimal tid;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
Rotate;5;;0;1;1;;Zustände rotieren [0 / 1];Beginnt nach dem Letzen Zustand wieder mit dem ersten Zustand, wenn die Variable auf 1 gesetzt ist.;;Rotate states [0 / 1];After the last state, it starts again with the first state if the variable is set to 1.;Roteer staten [0 / 1];Na de laatste status begint het opnieuw met de eerste status als de variabele is ingesteld op 1.;Rotation des états [0 / 1];Après le dernier état, il recommence avec le premier état si la variable est définie sur 1.;Ruota gli stati [0 / 1];Dopo l'ultimo stato, ricomincia dal primo stato se la variabile è impostata su 1.;Rotar estados  [0 / 1];Después del último estado, comienza de nuevo con el primer estado si la variable se establece en 1.;Roter tilstande [0/1];Efter den sidste tilstand starter det igen med den første tilstand, hvis variablen er indstillet til 1.;
Use0;5;;0;1;0;;Verwende Zustand 0 beim rotieren [0 / 1];Die Funktion kann durch mehrfachen Tastendruck abgeschaltet werden;;Use state 0 when rotating [0/1];The function can be switched off by pressing the button several times;Gebruik status 0 bij roteren [0/1];De functie kan worden uitgeschakeld door meerdere keren op de knop te drukken;Utiliser l'état 0 lors de la rotation [0/1];La fonction peut être désactivée en appuyant plusieurs fois sur la touche;Usa lo stato 0 durante la rotazione [0/1];La funzione può essere disattivata premendo più volte il pulsante;Utilice el estado 0 al girar [0/1];La función se puede apagar presionando el botón varias veces;Brug tilstand 0, når du roterer [0/1];Funktionen kan slukkes ved at trykke på knappen flere gange;
ResetLong;5;;0;1;1;;Abschalten durch langes drücken  [0 / 1];Durch langes drücken der Taste wird die Funktion abgeschaltet wenn hier eine 1 steht;;Switch off by a long press [0 / 1];The function is switched off by pressing and holding the key if a 1 is set here;Schakel lang uit [0 / 1];De functie wordt uitgeschakeld door de toets ingedrukt te houden als hier een 1 is ingesteld;Eteignez par un appui long [0 / 1];La fonction est désactivée en appuyant sur la touche et en la maintenant enfoncée si un 1 est défini ici;Spegnere premendo a lungo [0 / 1];La funzione viene disattivata tenendo premuto il tasto se qui è impostato un 1;Apagar presionando prolongadamente [0 / 1];La función se desactiva presionando y manteniendo presionada la tecla si aquí se establece un 1;Sluk med et langt tryk på [0/1];Funktionen slukkes ved at holde tasten nede, hvis der indstilles en 1 her;
OptCtrPar;5;Mode;0;255;0;;Optionale Zähler Parameter;Ein oder mehrere Flags: CF_INV_INPUT, CF_BINARY, CF_PINGPONG, CF_RANDOM getrennt über '|';;Optional counter parameters;One or more flags: CF_INV_INPUT, CF_BINARY, CF_PINGPONG, CF_RANDOM separated by '|';Optionele tellerparameters;Een of meer vlaggen: CF_INV_INPUT, CF_BINARY, CF_PINGPONG, CF_RANDOM gescheiden door '|';Paramètres de compteur optionnels;Un ou plusieurs drapeaux: CF_INV_INPUT, CF_BINARY, CF_PINGPONG, CF_RANDOM séparés par '|';Parametri contatore opzionali;Uno o più flag: CF_INV_INPUT, CF_BINARY, CF_PINGPONG, CF_RANDOM separati da '|';Parámetros opcionales del contador;Uno o más indicadores: CF_INV_INPUT, CF_BINARY, CF_PINGPONG, CF_RANDOM separados por '|';Valgfri tællerparametre;En eller flere flag: CF_INV_INPUT, CF_BINARY, CF_PINGPONG, CF_RANDOM adskilt med '|';
BackLight;5;;0;255;31;;Hintergrundbeleuchtung;Hintergrundbeleuchtung der Taster im ausgeschalteten Zustand;;Backlight;Backlighting of the buttons when switched off;Achtergrondverlichting;Achtergrondverlichting van de knoppen wanneer uitgeschakeld;Rétroéclairage;Rétro-éclairage des boutons à l'arrêt;Controluce;Retroilluminazione dei pulsanti quando spenta;Iluminar desde el fondo;Retroiluminación de los botones cuando está apagado;Baggrundslys;Baggrundsbelysning af knapperne, når de er slukket;
Steps;4;;1;255;1;;Schritte;Anzahl der Schritte um welche die Lautstärke verringert/erhöht werden soll;;steps;Number of steps by which the volume should be reduced / increased;stappen;Aantal stappen waarmee het volume moet worden verlaagd / verhoogd;pas;Nombre d'étapes par lesquelles le volume doit être réduit / augmenté;passaggi;Numero di passaggi per cui il volume deve essere ridotto / aumentato;pasos;Número de pasos por los cuales se debe reducir / aumentar el volumen;trin;Antal trin, hvorved lydstyrken skal reduceres / øges;
CtrMode;1;Mode;;;CM_NORMAL;;Mode;Ein oder mehrere Modes: CM_NORMAL, CF_INV_INPUT, CF_INV_ENABLE, CF_BINARY, CF_RESET_LONG, CF_UP_DOWN, CF_ROTATE, CF_PINGPONG, CF_SKIP0, CF_RANDOM, CF_LOCAL_VAR, CF_ONLY_LOCALVAR  getrennt über '|';;Fashion;One or more modes: CM_NORMAL, CF_INV_INPUT, CF_INV_ENABLE, CF_BINARY, CF_RESET_LONG, CF_UP_DOWN, CF_ROTATE, CF_PINGPONG, CF_SKIP0, CF_RANDOM, CF_LOCAL_VAR, CF_ONLY_LOCALVAR separated;mode;Een of meer modi: CM_NORMAL, CF_INV_INPUT, CF_INV_ENABLE, CF_BINARY, CF_RESET_LONG, CF_UP_DOWN, CF_ROTATE, CF_PINGPONG, CF_SKIP0, CF_RANDOM, CF_LOCAL_VAR, CF_ONLY_LOCALVAR gescheiden;mode;Un ou plusieurs modes: CM_NORMAL, CF_INV_INPUT, CF_INV_ENABLE, CF_BINARY, CF_RESET_LONG, CF_UP_DOWN, CF_ROTATE, CF_PINGPONG, CF_SKIP0, CF_RANDOM, CF_LOCAL_VAR, CF_ONLY_LOCALVAR séparés;Moda;Una o più modalità: CM_NORMAL, CF_INV_INPUT, CF_INV_ENABLE, CF_BINARY, CF_RESET_LONG, CF_UP_DOWN, CF_ROTATE, CF_PINGPONG, CF_SKIP0, CF_RANDOM, CF_LOCAL_VAR, CF_ONLY_LOCALVAR separati;Moda;Uno o más modos: CM_NORMAL, CF_INV_INPUT, CF_INV_ENABLE, CF_BINARY, CF_RESET_LONG, CF_UP_DOWN, CF_ROTATE, CF_PINGPONG, CF_SKIP0, CF_RANDOM, CF_LOCAL_VAR, CF_ONLY_LOCALVAR separados;Mode;En eller flere tilstande: CM_NORMAL, CF_INV_INPUT, CF_INV_ENABLE, CF_BINARY, CF_RESET_LONG, CF_UP_DOWN, CF_ROTATE, CF_PINGPONG, CF_SKIP0, CF_RANDOM, CF_LOCAL_VAR, CF_ONLY_LOCALVAR adskilt;
RandMode;2;Mode;;;RM_NORMAL;;Mode;Ein oder mehrere Modes: RM_NORMAL, RF_SLOW, RF_SEQ, RF_STAY_ON, RF_NOT_SAME getrennt über '|';;Fashion;One or more modes: RM_NORMAL, RF_SLOW, RF_SEQ, RF_STAY_ON, RF_NOT_SAME separated via '|';mode;Een of meer modi: RM_NORMAL, RF_SLOW, RF_SEQ, RF_STAY_ON, RF_NOT_SAME gescheiden via '|';mode;Un ou plusieurs modes: RM_NORMAL, RF_SLOW, RF_SEQ, RF_STAY_ON, RF_NOT_SAME séparés par '|';Moda;Una o più modalità: RM_NORMAL, RF_SLOW, RF_SEQ, RF_STAY_ON, RF_NOT_SAME separati da '|';Moda;Uno o más modos: RM_NORMAL, RF_SLOW, RF_SEQ, RF_STAY_ON, RF_NOT_SAME separados por '|';Mode;En eller flere tilstande: RM_NORMAL, RF_SLOW, RF_SEQ, RF_STAY_ON, RF_NOT_SAME adskilt via '|';
;;;;;;;;;;;;;;;;;;;;;;
Period;3;Time;1;2097120;1 Sek;;Periode;Die Periode wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximalperiode beträgt zwei Minuten (131070 ms). ;;period;"The period is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum period is two minutes (131070 ms).";periode;"De periode wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale periode is twee minuten (131070 ms).";période;"La période est donnée en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. La période maximale est de deux minutes (131070 ms).";periodo;"Il periodo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il periodo massimo è di due minuti (131070 ms).";período;"El período se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El período máximo es de dos minutos (131070 ms).";periode;"Perioden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale periode er to minutter (131070 ms).";
MinOn;2;Time;1;1048560;2 Sek;;Minimal aktive Zeit;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Minimal active time;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Minimale actieve tijd;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Temps actif minimal;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Tempo minimo attivo;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Tiempo mínimo de actividad;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Minimal aktiv tid;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
